pid,group,matrix_name,condition,response
29,AI,FAVvsMJP,opposed,6
29,AI,MDvsMIP/MJP,together,6
29,AI,FAVvsP,together,0
29,AI,FAVvsP,opposed,0
29,AI,MDvsMIP/MJP,together,6
29,AI,FAVvsMJP,opposed,6
29,AI,MDvsMIP/MJP,opposed,6
29,AI,FAVvsP,opposed,0
29,AI,FAVvsP,together,0
29,AI,FAVvsMJP,together,6
29,AI,FAVvsMJP,together,6
29,AI,MDvsMIP/MJP,opposed,6
30,AI,FAVvsMJP,together,6
30,AI,MDvsMIP/MJP,together,6
30,AI,FAVvsMJP,opposed,6
30,AI,MDvsMIP/MJP,together,6
30,AI,MDvsMIP/MJP,opposed,6
30,AI,FAVvsP,together,6
30,AI,MDvsMIP/MJP,opposed,6
30,AI,FAVvsP,together,6
30,AI,FAVvsP,opposed,6
30,AI,FAVvsMJP,opposed,6
30,AI,FAVvsP,opposed,6
30,AI,FAVvsMJP,together,6
31,AI,MDvsMIP/MJP,together,0
31,AI,FAVvsMJP,together,4
31,AI,FAVvsP,opposed,5
31,AI,MDvsMIP/MJP,opposed,6
31,AI,MDvsMIP/MJP,together,7
31,AI,FAVvsP,together,9
31,AI,FAVvsMJP,opposed,8
31,AI,FAVvsP,together,2
31,AI,FAVvsMJP,together,10
31,AI,FAVvsP,opposed,12
31,AI,FAVvsMJP,opposed,5
31,AI,MDvsMIP/MJP,opposed,9
32,AI,MDvsMIP/MJP,together,1
32,AI,FAVvsP,together,4
32,AI,FAVvsMJP,together,8
32,AI,FAVvsMJP,together,0
32,AI,MDvsMIP/MJP,opposed,7
32,AI,FAVvsP,opposed,4
32,AI,MDvsMIP/MJP,together,4
32,AI,FAVvsP,opposed,7
32,AI,FAVvsP,together,4
32,AI,FAVvsMJP,opposed,9
32,AI,MDvsMIP/MJP,opposed,10
32,AI,FAVvsMJP,opposed,8
33,AI,FAVvsP,opposed,0
33,AI,FAVvsMJP,opposed,12
33,AI,FAVvsMJP,together,0
33,AI,MDvsMIP/MJP,opposed,12
33,AI,FAVvsMJP,opposed,12
33,AI,MDvsMIP/MJP,together,0
33,AI,MDvsMIP/MJP,opposed,11
