pid,group,condition,pull
285,AI,FAVvsP,10
286,AI,FAVvsMJP,1.5
286,AI,MDvsMIP/MJP,2.5
286,AI,FAVvsP,8.5
287,AI,FAVvsMJP,-7
287,AI,MDvsMIP/MJP,-1.5
287,AI,FAVvsP,6
288,AI,FAVvsMJP,8.5
288,AI,MDvsMIP/MJP,-1
288,AI,FAVvsP,9.5
289,AI,FAVvsMJP,12
289,AI,MDvsMIP/MJP,0
289,AI,FAVvsP,12
290,AI,FAVvsMJP,4
290,AI,MDvsMIP/MJP,1.5
290,AI,FAVvsP,5
291,AI,FAVvsMJP,8
291,AI,MDvsMIP/MJP,2
291,AI,FAVvsP,9
292,AI,FAVvsMJP,-11
292,AI,MDvsMIP/MJP,-6
292,AI,FAVvsP,-12
293,AI,FAVvsMJP,11
293,AI,MDvsMIP/MJP,5.5
293,AI,FAVvsP,9.5
294,AI,FAVvsMJP,0.5
294,AI,MDvsMIP/MJP,3
294,AI,FAVvsP,1.5
295,AI,FAVvsMJP,2
295,AI,MDvsMIP/MJP,6.5
295,AI,FAVvsP,1.5
296,AI,FAVvsMJP,6
296,AI,MDvsMIP/MJP,-4
296,AI,FAVvsP,6
297,AI,FAVvsMJP,-1
297,AI,MDvsMIP/MJP,1
297,AI,FAVvsP,-6
298,AI,FAVvsMJP,12
298,AI,MDvsMIP/MJP,0
298,AI,FAVvsP,12
299,AI,FAVvsMJP,11.5
299,AI,MDvsMIP/MJP,-0.5
299,AI,FAVvsP,12
300,AI,FAVvsMJP,0.5
300,AI,MDvsMIP/MJP,3
300,AI,FAVvsP,-3
301,AI,FAVvsMJP,6
301,AI,MDvsMIP/MJP,5
301,AI,FAVvsP,2
302,AI,FAVvsMJP,9.5
302,AI,MDvsMIP/MJP,2.5
302,AI,FAVvsP,11.5
303,AI,FAVvsMJP,2.5
303,AI,MDvsMIP/MJP,4
303,AI,FAVvsP,6
304,AI,FAVvsMJP,8.5
304,AI,MDvsMIP/MJP,11.5
304,AI,FAVvsP,9.5
305,AI,FAVvsMJP,5
305,AI,MDvsMIP/MJP,-2
305,AI,FAVvsP,3.5
306,AI,FAVvsMJP,8.5
306,AI,MDvsMIP/MJP,0
306,AI,FAVvsP,9
307,AI,FAVvsMJP,12
307,AI,MDvsMIP/MJP,12
307,AI,FAVvsP,12
308,AI,FAVvsMJP,-0.5
308,AI,MDvsMIP/MJP,1.5
308,AI,FAVvsP,-3
309,AI,FAVvsMJP,3.5
309,AI,MDvsMIP/MJP,3.5
309,AI,FAVvsP,5
310,AI,FAVvsMJP,0
310,AI,MDvsMIP/MJP,-3
310,AI,FAVvsP,0
311,AI,FAVvsMJP,6.5
311,AI,MDvsMIP/MJP,11
311,AI,FAVvsP,11
312,AI,FAVvsMJP,8
312,AI,MDvsMIP/MJP,1.5
312,AI,FAVvsP,3
313,AI,FAVvsMJP,-6
313,AI,MDvsMIP/MJP,6
313,AI,FAVvsP,-6
314,AI,FAVvsMJP,0.5
314,AI,MDvsMIP/MJP,1
314,AI,FAVvsP,-2.5
315,AI,FAVvsMJP,3
315,AI,MDvsMIP/MJP,3
315,AI,FAVvsP,6
316,AI,FAVvsMJP,-3
316,AI,MDvsMIP/MJP,4
316,AI,FAVvsP,-4
317,AI,FAVvsMJP,-8
317,AI,MDvsMIP/MJP,0
317,AI,FAVvsP,-5
318,AI,FAVvsMJP,12
318,AI,MDvsMIP/MJP,8.5
318,AI,FAVvsP,9
319,AI,FAVvsMJP,6
319,AI,MDvsMIP/MJP,0
319,AI,FAVvsP,-0.5
320,AI,FAVvsMJP,2.5
320,AI,MDvsMIP/MJP,-3.5
320,AI,FAVvsP,-1.5
321,AI,FAVvsMJP,0
321,AI,MDvsMIP/MJP,0
321,AI,FAVvsP,0
322,AI,FAVvsMJP,5.5
322,AI,MDvsMIP/MJP,1
322,AI,FAVvsP,3.5
323,AI,FAVvsMJP,-3
323,AI,MDvsMIP/MJP,-0.5
323,AI,FAVvsP,-9.5
324,AI,FAVvsMJP,4.5
324,AI,MDvsMIP/MJP,-1.5
324,AI,FAVvsP,4
325,AI,FAVvsMJP,0
325,AI,MDvsMIP/MJP,0
325,AI,FAVvsP,0
326,AI,FAVvsMJP,-2.5
326,AI,MDvsMIP/MJP,2.5
326,AI,FAVvsP,-2
327,AI,FAVvsMJP,0
327,AI,MDvsMIP/MJP,3
327,AI,FAVvsP,0
328,AI,FAVvsMJP,-0.5
328,AI,MDvsMIP/MJP,0.5
328,AI,FAVvsP,0
329,AI,FAVvsMJP,-0.5
329,AI,MDvsMIP/MJP,8
329,AI,FAVvsP,10
330,AI,FAVvsMJP,2.5
330,AI,MDvsMIP/MJP,2.5
330,AI,FAVvsP,3.5
