pid,group,condition,pull
179,Human,FAVvsMJP,9
179,Human,MDvsMIP/MJP,0
179,Human,FAVvsP,0
180,Human,FAVvsMJP,12
180,Human,MDvsMIP/MJP,6
180,Human,FAVvsP,12
181,Human,FAVvsMJP,0
181,Human,MDvsMIP/MJP,-4.5
181,Human,FAVvsP,1.5
182,Human,FAVvsMJP,-1
182,Human,MDvsMIP/MJP,3.5
182,Human,FAVvsP,-3.5
183,Human,FAVvsMJP,2.5
183,Human,MDvsMIP/MJP,3
183,Human,FAVvsP,1
184,Human,FAVvsMJP,3
184,Human,MDvsMIP/MJP,1.5
184,Human,FAVvsP,-7
185,Human,FAVvsMJP,12
185,Human,MDvsMIP/MJP,3
185,Human,FAVvsP,-3.5
186,Human,FAVvsMJP,0
186,Human,MDvsMIP/MJP,0
186,Human,FAVvsP,0
187,Human,FAVvsMJP,0.5
187,Human,MDvsMIP/MJP,-1
187,Human,FAVvsP,-0.5
188,Human,FAVvsMJP,-1
188,Human,MDvsMIP/MJP,3.5
188,Human,FAVvsP,8
189,Human,FAVvsMJP,1.5
189,Human,MDvsMIP/MJP,1.5
189,Human,FAVvsP,-1.5
190,Human,FAVvsMJP,3.5
190,Human,MDvsMIP/MJP,3
190,Human,FAVvsP,1
191,Human,FAVvsMJP,9
191,Human,MDvsMIP/MJP,0
191,Human,FAVvsP,6
192,Human,FAVvsMJP,0
192,Human,MDvsMIP/MJP,4.5
192,Human,FAVvsP,6
193,Human,FAVvsMJP,1
193,Human,MDvsMIP/MJP,-1
193,Human,FAVvsP,0.5
194,Human,FAVvsMJP,-6.5
194,Human,MDvsMIP/MJP,-0.5
194,Human,FAVvsP,-5
195,Human,FAVvsMJP,0
195,Human,MDvsMIP/MJP,3
195,Human,FAVvsP,1.5
196,Human,FAVvsMJP,7
196,Human,MDvsMIP/MJP,0
196,Human,FAVvsP,7.5
197,Human,FAVvsMJP,3.5
197,Human,MDvsMIP/MJP,-2
197,Human,FAVvsP,2
198,Human,FAVvsMJP,-2.5
198,Human,MDvsMIP/MJP,-3
198,Human,FAVvsP,2
199,Human,FAVvsMJP,12
199,Human,MDvsMIP/MJP,0
199,Human,FAVvsP,12
200,Human,FAVvsMJP,12
200,Human,MDvsMIP/MJP,3
200,Human,FAVvsP,12
201,Human,FAVvsMJP,1
201,Human,MDvsMIP/MJP,3.5
201,Human,FAVvsP,-1.5
202,Human,FAVvsMJP,2.5
202,Human,MDvsMIP/MJP,5
202,Human,FAVvsP,7.5
203,Human,FAVvsMJP,2
203,Human,MDvsMIP/MJP,5
203,Human,FAVvsP,3.5
204,Human,FAVvsMJP,7
204,Human,MDvsMIP/MJP,3
204,Human,FAVvsP,8
205,Human,FAVvsMJP,4
205,Human,MDvsMIP/MJP,-0.5
205,Human,FAVvsP,-5
206,Human,FAVvsMJP,8.5
206,Human,MDvsMIP/MJP,6.5
206,Human,FAVvsP,6.5
207,Human,FAVvsMJP,12
207,Human,MDvsMIP/MJP,0
207,Human,FAVvsP,12
208,Human,FAVvsMJP,7.5
208,Human,MDvsMIP/MJP,7
208,Human,FAVvsP,5
209,Human,FAVvsMJP,-1.5
209,Human,MDvsMIP/MJP,-2
209,Human,FAVvsP,2
210,Human,FAVvsMJP,9
210,Human,MDvsMIP/MJP,0
210,Human,FAVvsP,2.5
211,Human,FAVvsMJP,7
211,Human,MDvsMIP/MJP,0
211,Human,FAVvsP,3
