pid,condition,pull
132,Human_FAVvsP,4.5
133,Human_FAVvsMJP,1
133,Human_MDvsMIP/MJP,-2
133,Human_FAVvsP,2
134,Human_FAVvsMJP,12
134,Human_MDvsMIP/MJP,0
134,Human_FAVvsP,12
135,Human_FAVvsMJP,5.5
135,Human_MDvsMIP/MJP,0
135,Human_FAVvsP,2
136,Human_FAVvsMJP,1.5
136,Human_MDvsMIP/MJP,0
136,Human_FAVvsP,0.5
137,Human_FAVvsMJP,6
137,Human_MDvsMIP/MJP,2.5
137,Human_FAVvsP,6
138,Human_FAVvsMJP,1
138,Human_MDvsMIP/MJP,2.5
138,Human_FAVvsP,-1
139,Human_FAVvsMJP,-2.5
139,Human_MDvsMIP/MJP,0.5
139,Human_FAVvsP,7.5
140,Human_FAVvsMJP,0
140,Human_MDvsMIP/MJP,3
140,Human_FAVvsP,0.5
141,Human_FAVvsMJP,4
141,Human_MDvsMIP/MJP,0
141,Human_FAVvsP,-0.5
142,Human_FAVvsMJP,6
142,Human_MDvsMIP/MJP,3.5
142,Human_FAVvsP,8
143,Human_FAVvsMJP,6.5
143,Human_MDvsMIP/MJP,0
143,Human_FAVvsP,5
144,Human_FAVvsMJP,6
144,Human_MDvsMIP/MJP,-1.5
144,Human_FAVvsP,11.5
145,Human_FAVvsMJP,5
145,Human_MDvsMIP/MJP,4
145,Human_FAVvsP,2
146,Human_FAVvsMJP,2.5
146,Human_MDvsMIP/MJP,-0.5
146,Human_FAVvsP,-0.5
147,Human_FAVvsMJP,12
147,Human_MDvsMIP/MJP,0
147,Human_FAVvsP,12
148,Human_FAVvsMJP,7.5
148,Human_MDvsMIP/MJP,0
148,Human_FAVvsP,9.5
149,Human_FAVvsMJP,-2
149,Human_MDvsMIP/MJP,-4
149,Human_FAVvsP,-1
150,Human_FAVvsMJP,6
150,Human_MDvsMIP/MJP,6
150,Human_FAVvsP,6
151,Human_FAVvsMJP,12
151,Human_MDvsMIP/MJP,0
151,Human_FAVvsP,12
152,Human_FAVvsMJP,-0.5
152,Human_MDvsMIP/MJP,2.5
152,Human_FAVvsP,1
153,Human_FAVvsMJP,7.5
153,Human_MDvsMIP/MJP,2.5
153,Human_FAVvsP,8
154,Human_FAVvsMJP,3.5
154,Human_MDvsMIP/MJP,1
154,Human_FAVvsP,1
155,Human_FAVvsMJP,3
155,Human_MDvsMIP/MJP,1
155,Human_FAVvsP,4.5
156,Human_FAVvsMJP,1.5
156,Human_MDvsMIP/MJP,1.5
156,Human_FAVvsP,1.5
157,Human_FAVvsMJP,-3
157,Human_MDvsMIP/MJP,2.5
157,Human_FAVvsP,6.5
158,Human_FAVvsMJP,4
158,Human_MDvsMIP/MJP,2
158,Human_FAVvsP,4.5
159,Human_FAVvsMJP,-8.5
159,Human_MDvsMIP/MJP,5
159,Human_FAVvsP,4
160,Human_FAVvsMJP,12
160,Human_MDvsMIP/MJP,0
160,Human_FAVvsP,12
161,Human_FAVvsMJP,0
161,Human_MDvsMIP/MJP,4.5
161,Human_FAVvsP,-2
162,Human_FAVvsMJP,-1
162,Human_MDvsMIP/MJP,0
162,Human_FAVvsP,-7
163,Human_FAVvsMJP,6
163,Human_MDvsMIP/MJP,0
163,Human_FAVvsP,0
164,Human_FAVvsMJP,0
164,Human_MDvsMIP/MJP,1.5
164,Human_FAVvsP,1
165,Human_FAVvsMJP,-2
165,Human_MDvsMIP/MJP,0
165,Human_FAVvsP,3
166,Human_FAVvsMJP,7.5
166,Human_MDvsMIP/MJP,2.5
166,Human_FAVvsP,3.5
167,Human_FAVvsMJP,-9
167,Human_MDvsMIP/MJP,-3.5
167,Human_FAVvsP,-1.5
