pid,group,matrix_name,together,opposed,pull
84,AI,MDvsMIP/MJP,5.5,3,-2.5
84,AI,FAVvsP,8,11,3
85,AI,FAVvsMJP,9,2.5,-6.5
85,AI,MDvsMIP/MJP,9,6,-3
85,AI,FAVvsP,12,3.5,-8.5
86,AI,FAVvsMJP,0,9,9
86,AI,MDvsMIP/MJP,0,0,0
86,AI,FAVvsP,0,0,0
87,AI,FAVvsMJP,4.5,6,1.5
87,AI,MDvsMIP/MJP,4.5,5,0.5
87,AI,FAVvsP,5.5,7,1.5
88,AI,FAVvsMJP,4,5,1
88,AI,MDvsMIP/MJP,3.5,1,-2.5
88,AI,FAVvsP,6,7.5,1.5
89,AI,FAVvsMJP,4,0,-4
89,AI,MDvsMIP/MJP,3.5,6,2.5
89,AI,FAVvsP,9,3,-6
90,AI,FAVvsMJP,8,8,0
90,AI,MDvsMIP/MJP,4,2.5,-1.5
90,AI,FAVvsP,6.5,8.5,2
91,AI,FAVvsMJP,11.5,2,-9.5
91,AI,MDvsMIP/MJP,3,3,0
91,AI,FAVvsP,8,2.5,-5.5
92,AI,FAVvsMJP,2.5,9.5,7
92,AI,MDvsMIP/MJP,2.5,6,3.5
92,AI,FAVvsP,2.5,6,3.5
93,AI,FAVvsMJP,4.5,6,1.5
93,AI,MDvsMIP/MJP,4.5,1.5,-3
93,AI,FAVvsP,0,0,0
94,AI,FAVvsMJP,0,12,12
94,AI,MDvsMIP/MJP,1.5,0,-1.5
94,AI,FAVvsP,0,12,12
95,AI,FAVvsMJP,5.5,7,1.5
95,AI,MDvsMIP/MJP,5.5,7.5,2
95,AI,FAVvsP,7,7.5,0.5
96,Human,FAVvsMJP,6,12,6
96,Human,MDvsMIP/MJP,0,0,0
96,Human,FAVvsP,0,6,6
97,Human,FAVvsMJP,6,6,0
97,Human,MDvsMIP/MJP,0,0,0
97,Human,FAVvsP,0,0,0
98,Human,FAVvsMJP,0,12,12
98,Human,MDvsMIP/MJP,0,6,6
98,Human,FAVvsP,0,12,12
99,Human,FAVvsMJP,0,12,12
99,Human,MDvsMIP/MJP,0,7,7
99,Human,FAVvsP,0.5,12,11.5
100,Human,FAVvsMJP,4,7.5,3.5
100,Human,MDvsMIP/MJP,0,0,0
100,Human,FAVvsP,2,5,3
101,Human,FAVvsMJP,6,6.5,0.5
101,Human,MDvsMIP/MJP,6,6,0
101,Human,FAVvsP,1.5,0,-1.5
102,Human,FAVvsMJP,5.5,2,-3.5
102,Human,MDvsMIP/MJP,9.5,10,0.5
102,Human,FAVvsP,10,4,-6
103,Human,FAVvsMJP,3.5,6.5,3
103,Human,MDvsMIP/MJP,0,0,0
103,Human,FAVvsP,1,4,3
104,Human,FAVvsMJP,2,12,10
104,Human,MDvsMIP/MJP,3.5,0,-3.5
104,Human,FAVvsP,2.5,8,5.5
105,Human,FAVvsMJP,0,9.5,9.5
105,Human,MDvsMIP/MJP,1.5,2.5,1
105,Human,FAVvsP,6,12,6
106,Human,FAVvsMJP,8.5,11,2.5
106,Human,MDvsMIP/MJP,7,4.5,-2.5
106,Human,FAVvsP,1.5,4,2.5
107,Human,FAVvsMJP,5.5,6,0.5
107,Human,MDvsMIP/MJP,0,0.5,0.5
107,Human,FAVvsP,0,1,1
108,Human,FAVvsMJP,2,7.5,5.5
108,Human,MDvsMIP/MJP,0,2,2
108,Human,FAVvsP,1,8.5,7.5
109,Human,FAVvsMJP,3.5,8,4.5
109,Human,MDvsMIP/MJP,0.5,3,2.5
109,Human,FAVvsP,2,8,6
110,Human,FAVvsMJP,6,5.5,-0.5
110,Human,MDvsMIP/MJP,3,0,-3
110,Human,FAVvsP,0.5,2.5,2
111,Human,FAVvsMJP,2.5,11,8.5
111,Human,MDvsMIP/MJP,4,1.5,-2.5
111,Human,FAVvsP,0.5,8.5,8
112,Human,FAVvsMJP,4.5,7.5,3
112,Human,MDvsMIP/MJP,5,9.5,4.5
112,Human,FAVvsP,1,2,1
113,Human,FAVvsMJP,3,9,6
113,Human,MDvsMIP/MJP,6,0,-6
113,Human,FAVvsP,0,8,8
114,Human,FAVvsMJP,3,7.5,4.5
114,Human,MDvsMIP/MJP,0,2.5,2.5
114,Human,FAVvsP,0,2.5,2.5
115,Human,FAVvsMJP,5.5,7,1.5
115,Human,MDvsMIP/MJP,2.5,5.5,3
115,Human,FAVvsP,0,2,2
116,Human,FAVvsMJP,4.5,7.5,3
116,Human,MDvsMIP/MJP,1.5,0,-1.5
116,Human,FAVvsP,3,4.5,1.5
117,Human,FAVvsMJP,3,7.5,4.5
117,Human,MDvsMIP/MJP,0,0,0
117,Human,FAVvsP,0,3,3
118,Human,FAVvsMJP,0.5,6,5.5
118,Human,MDvsMIP/MJP,0,1.5,1.5
118,Human,FAVvsP,6,6,0
119,Human,FAVvsMJP,0,12,12
119,Human,MDvsMIP/MJP,1.5,0.5,-1
119,Human,FAVvsP,1.5,11.5,10
120,Human,FAVvsMJP,2.5,10,7.5
120,Human,MDvsMIP/MJP,0.5,4.5,4
120,Human,FAVvsP,0.5,6,5.5
121,Human,FAVvsMJP,3,6.5,3.5
121,Human,MDvsMIP/MJP,0,0,0
121,Human,FAVvsP,0,5.5,5.5
122,Human,FAVvsMJP,3.5,6.5,3
122,Human,MDvsMIP/MJP,0,0,0
