pid,group,matrix_name,condition,n,mean,sd,sem
32,AI,FAVvsP,opposed,2,5.5,2.1213203435596424,1.4999999999999998
33,AI,FAVvsMJP,together,2,0,0,0
33,AI,FAVvsMJP,opposed,2,12,0,0
33,AI,MDvsMIP/MJP,together,2,0,0,0
33,AI,MDvsMIP/MJP,opposed,2,11.5,0.7071067811865476,0.5
33,AI,FAVvsP,together,2,0,0,0
33,AI,FAVvsP,opposed,2,6,8.48528137423857,5.999999999999999
34,AI,FAVvsMJP,together,2,0,0,0
34,AI,FAVvsMJP,opposed,2,6,8.48528137423857,5.999999999999999
34,AI,MDvsMIP/MJP,together,2,0,0,0
34,AI,MDvsMIP/MJP,opposed,2,0,0,0
34,AI,FAVvsP,together,2,0,0,0
34,AI,FAVvsP,opposed,2,0,0,0
35,AI,FAVvsMJP,together,2,0,0,0
35,AI,FAVvsMJP,opposed,2,12,0,0
35,AI,MDvsMIP/MJP,together,2,0,0,0
35,AI,MDvsMIP/MJP,opposed,2,0,0,0
35,AI,FAVvsP,together,2,0,0,0
35,AI,FAVvsP,opposed,2,12,0,0
36,AI,FAVvsMJP,together,2,5,4.242640687119285,2.9999999999999996
36,AI,FAVvsMJP,opposed,2,3.5,3.5355339059327378,2.5
36,AI,MDvsMIP/MJP,together,2,6.5,0.7071067811865476,0.5
36,AI,MDvsMIP/MJP,opposed,2,9.5,0.7071067811865476,0.5
36,AI,FAVvsP,together,2,8,0,0
36,AI,FAVvsP,opposed,2,8,0,0
37,AI,FAVvsMJP,together,2,0,0,0
37,AI,FAVvsMJP,opposed,2,12,0,0
37,AI,MDvsMIP/MJP,together,2,0,0,0
37,AI,MDvsMIP/MJP,opposed,2,0,0,0
37,AI,FAVvsP,together,2,0,0,0
37,AI,FAVvsP,opposed,2,12,0,0
38,AI,FAVvsMJP,together,2,2.5,3.5355339059327378,2.5
38,AI,FAVvsMJP,opposed,2,10.5,0.7071067811865476,0.5
38,AI,MDvsMIP/MJP,together,2,1.5,0.7071067811865476,0.5
38,AI,MDvsMIP/MJP,opposed,2,9,2.8284271247461903,2
38,AI,FAVvsP,together,2,0.5,0.7071067811865476,0.5
38,AI,FAVvsP,opposed,2,7,1.4142135623730951,1
39,AI,FAVvsMJP,together,2,11,0,0
39,AI,FAVvsMJP,opposed,2,5,0,0
39,AI,MDvsMIP/MJP,together,2,8.5,2.1213203435596424,1.4999999999999998
39,AI,MDvsMIP/MJP,opposed,2,6.5,6.363961030678928,4.5
39,AI,FAVvsP,together,2,5,2.8284271247461903,2
39,AI,FAVvsP,opposed,2,6.5,6.363961030678928,4.5
40,AI,FAVvsMJP,together,2,7,1.4142135623730951,1
40,AI,FAVvsMJP,opposed,2,6.5,0.7071067811865476,0.5
40,AI,MDvsMIP/MJP,together,2,12,0,0
40,AI,MDvsMIP/MJP,opposed,2,12,0,0
40,AI,FAVvsP,together,2,0,0,0
40,AI,FAVvsP,opposed,2,0,0,0
41,AI,FAVvsMJP,together,2,6.5,0.7071067811865476,0.5
41,AI,FAVvsMJP,opposed,2,6.5,3.5355339059327378,2.5
41,AI,MDvsMIP/MJP,together,2,9,1.4142135623730951,1
41,AI,MDvsMIP/MJP,opposed,2,6.5,2.1213203435596424,1.4999999999999998
41,AI,FAVvsP,together,2,6.5,7.7781745930520225,5.499999999999999
41,AI,FAVvsP,opposed,2,6,2.8284271247461903,2
42,AI,FAVvsMJP,together,2,6,0,0
42,AI,FAVvsMJP,opposed,2,6,2.8284271247461903,2
42,AI,MDvsMIP/MJP,together,2,5.5,0.7071067811865476,0.5
42,AI,MDvsMIP/MJP,opposed,2,3,2.8284271247461903,2
42,AI,FAVvsP,together,2,2,2.8284271247461903,2
42,AI,FAVvsP,opposed,2,6,1.4142135623730951,1
43,AI,FAVvsMJP,together,2,7.5,2.1213203435596424,1.4999999999999998
43,AI,FAVvsMJP,opposed,2,5,1.4142135623730951,1
43,AI,MDvsMIP/MJP,together,2,5.5,6.363961030678928,4.5
43,AI,MDvsMIP/MJP,opposed,2,10.5,2.1213203435596424,1.4999999999999998
43,AI,FAVvsP,together,2,6,0,0
43,AI,FAVvsP,opposed,2,11,1.4142135623730951,1
44,AI,FAVvsMJP,together,2,4,0,0
44,AI,FAVvsMJP,opposed,2,8.5,4.949747468305833,3.4999999999999996
44,AI,MDvsMIP/MJP,together,2,4,1.4142135623730951,1
44,AI,MDvsMIP/MJP,opposed,2,7,1.4142135623730951,1
44,AI,FAVvsP,together,2,4,2.8284271247461903,2
44,AI,FAVvsP,opposed,2,5.5,4.949747468305833,3.4999999999999996
45,AI,FAVvsMJP,together,2,3,2.8284271247461903,2
45,AI,FAVvsMJP,opposed,2,7.5,0.7071067811865476,0.5
45,AI,MDvsMIP/MJP,together,2,2.5,3.5355339059327378,2.5
45,AI,MDvsMIP/MJP,opposed,2,7.5,0.7071067811865476,0.5
45,AI,FAVvsP,together,2,0,0,0
45,AI,FAVvsP,opposed,2,5,5.656854249492381,4
46,AI,FAVvsMJP,together,2,0,0,0
46,AI,FAVvsMJP,opposed,2,12,0,0
46,AI,MDvsMIP/MJP,together,2,0,0,0
46,AI,MDvsMIP/MJP,opposed,2,0,0,0
46,AI,FAVvsP,together,2,0,0,0
46,AI,FAVvsP,opposed,2,12,0,0
47,AI,FAVvsMJP,together,2,2.5,3.5355339059327378,2.5
47,AI,FAVvsMJP,opposed,2,9,4.242640687119285,2.9999999999999996
47,AI,MDvsMIP/MJP,together,2,5.5,2.1213203435596424,1.4999999999999998
47,AI,MDvsMIP/MJP,opposed,2,4.5,3.5355339059327378,2.5
47,AI,FAVvsP,together,2,0,0,0
47,AI,FAVvsP,opposed,2,7.5,0.7071067811865476,0.5
48,AI,FAVvsMJP,together,2,12,0,0
48,AI,FAVvsMJP,opposed,2,6,8.48528137423857,5.999999999999999
48,AI,MDvsMIP/MJP,together,2,0,0,0
48,AI,MDvsMIP/MJP,opposed,2,2,2.8284271247461903,2
48,AI,FAVvsP,together,2,9,4.242640687119285,2.9999999999999996
48,AI,FAVvsP,opposed,2,6,8.48528137423857,5.999999999999999
49,AI,FAVvsMJP,together,2,6,0,0
49,AI,FAVvsMJP,opposed,2,6,0,0
49,AI,MDvsMIP/MJP,together,2,6,0,0
49,AI,MDvsMIP/MJP,opposed,2,6,0,0
49,AI,FAVvsP,together,2,6,8.48528137423857,5.999999999999999
49,AI,FAVvsP,opposed,2,4,5.656854249492381,4
50,AI,FAVvsMJP,together,2,3,1.4142135623730951,1
50,AI,FAVvsMJP,opposed,2,4,2.8284271247461903,2
50,AI,MDvsMIP/MJP,together,2,7.5,0.7071067811865476,0.5
50,AI,MDvsMIP/MJP,opposed,2,7,0,0
50,AI,FAVvsP,together,2,6,4.242640687119285,2.9999999999999996
50,AI,FAVvsP,opposed,2,5.5,0.7071067811865476,0.5
51,AI,FAVvsMJP,together,2,3,2.8284271247461903,2
51,AI,FAVvsMJP,opposed,2,9,0,0
51,AI,MDvsMIP/MJP,together,2,4,0,0
51,AI,MDvsMIP/MJP,opposed,2,5,2.8284271247461903,2
51,AI,FAVvsP,together,2,3.5,2.1213203435596424,1.4999999999999998
51,AI,FAVvsP,opposed,2,8,1.4142135623730951,1
52,AI,FAVvsMJP,together,2,8.5,4.949747468305833,3.4999999999999996
52,AI,FAVvsMJP,opposed,2,7,2.8284271247461903,2
52,AI,MDvsMIP/MJP,together,2,9,4.242640687119285,2.9999999999999996
52,AI,MDvsMIP/MJP,opposed,2,9.5,3.5355339059327378,2.5
52,AI,FAVvsP,together,2,8,2.8284271247461903,2
52,AI,FAVvsP,opposed,2,3,4.242640687119285,2.9999999999999996
53,AI,FAVvsMJP,together,2,4.5,2.1213203435596424,1.4999999999999998
53,AI,FAVvsMJP,opposed,2,9.5,0.7071067811865476,0.5
53,AI,MDvsMIP/MJP,together,2,8.5,0.7071067811865476,0.5
53,AI,MDvsMIP/MJP,opposed,2,5,0,0
53,AI,FAVvsP,together,2,4,4.242640687119285,2.9999999999999996
53,AI,FAVvsP,opposed,2,8.5,3.5355339059327378,2.5
54,AI,FAVvsMJP,together,2,3,4.242640687119285,2.9999999999999996
54,AI,FAVvsMJP,opposed,2,7,1.4142135623730951,1
54,AI,MDvsMIP/MJP,together,2,3,4.242640687119285,2.9999999999999996
54,AI,MDvsMIP/MJP,opposed,2,5,1.4142135623730951,1
54,AI,FAVvsP,together,2,6,8.48528137423857,5.999999999999999
54,AI,FAVvsP,opposed,2,0,0,0
55,AI,FAVvsMJP,together,2,5.5,3.5355339059327378,2.5
55,AI,FAVvsMJP,opposed,2,8,1.4142135623730951,1
55,AI,MDvsMIP/MJP,together,2,8.5,0.7071067811865476,0.5
55,AI,MDvsMIP/MJP,opposed,2,4,1.4142135623730951,1
55,AI,FAVvsP,together,2,6,2.8284271247461903,2
55,AI,FAVvsP,opposed,2,6,2.8284271247461903,2
56,AI,FAVvsMJP,together,2,3.5,0.7071067811865476,0.5
56,AI,FAVvsMJP,opposed,2,6.5,0.7071067811865476,0.5
56,AI,MDvsMIP/MJP,together,2,0,0,0
56,AI,MDvsMIP/MJP,opposed,2,0,0,0
56,AI,FAVvsP,together,2,0,0,0
56,AI,FAVvsP,opposed,2,6.5,0.7071067811865476,0.5
57,AI,FAVvsMJP,together,2,5.5,4.949747468305833,3.4999999999999996
